City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,santa ana de yacuma,-13.75,-65.4333,22.54,64,21,0.96,BO,1717649733
347,smithers,54.7804,-127.1743,10.18,57,40,2.06,CA,1717649632
348,pembroke,45.8168,-77.1162,18.43,100,100,1.97,CA,1717649734
349,rehoboth,-23.3167,17.0833,1.63,72,0,2.24,NA,1717649734
350,lagos,6.5833,3.75,26.18,94,89,1.2,NG,1717649539
351,tres arroyos,-38.3739,-60.2798,8.82,79,73,3.91,AR,1717649734
352,vilyuchinsk,52.9306,158.4028,15.15,56,100,5.97,RU,1717649734
353,kourou,5.1552,-52.6478,25.03,93,92,1.97,GF,1717649734
354,kefamenanu,-9.4467,124.4781,23.59,86,97,3.72,ID,1717649734
355,maragogi,-9.0122,-35.2225,23.63,90,100,1.76,BR,1717649734
356,new norfolk,-42.7826,147.0587,13.29,63,1,0.76,AU,1717649735
357,sevastopol,44.6,33.5333,23.89,52,50,3.07,UA,1717649735
358,yanchep,-31.55,115.6833,24.51,62,0,7.67,AU,1717649735
359,labytnangi,66.6572,66.4183,4.51,71,91,1.18,RU,1717649735
360,ponta delgada,37.7333,-25.6667,18.44,82,40,6.69,PT,1717649735
361,sligo,54.2697,-8.4694,7.56,87,50,2.48,IE,1717649735
362,guiratinga,-16.3494,-53.7583,16.99,54,0,1.59,BR,1717649735
363,krasnyy yar,46.5331,48.3456,29.96,21,38,3.56,RU,1717649736
364,egilsstadir,65.2653,-14.3948,2.95,75,100,10.8,IS,1717649736
365,siwa oasis,29.2041,25.5195,30.16,24,0,1.68,EG,1717649736
366,semporna,4.4818,118.6112,30.98,62,100,2.55,MY,1717649736
367,jiayuguan,39.8167,98.3,22.86,25,50,2.84,CN,1717649736
368,yuzhno-kurilsk,44.0306,145.8556,9.1,76,71,5.52,RU,1717649737
369,bac lieu,9.285,105.7244,35.06,44,100,4.63,VN,1717649737
370,mantua,45.1667,10.7833,18.86,93,21,1.34,IT,1717649737
371,koppies,-27.2418,27.5742,6.33,33,0,4.05,ZA,1717649737
372,puerto baquerizo moreno,-0.9,-89.6,21.42,87,18,4.35,EC,1717649737
373,winnemucca,40.973,-117.7357,27.03,22,0,3.09,US,1717649737
374,banket,-17.3833,30.4,15.49,51,0,1.89,ZW,1717649737
375,arraial do cabo,-22.9661,-42.0278,15.98,100,20,0.0,BR,1717649738
376,quthing,-30.4,27.7003,5.29,41,0,2.88,LS,1717649738
377,xichang,27.8964,102.2634,25.52,66,82,1.9,CN,1717649738
378,beau vallon,-20.4189,57.6953,24.01,68,75,6.17,MU,1717649738
379,alaca,40.1683,34.8425,22.27,68,0,2.14,TR,1717649738
380,brokopondo,4.75,-55.1667,25.55,89,100,2.68,SR,1717649738
381,mirny,62.5353,113.9611,10.69,53,100,4.02,RU,1717649455
382,cova figueira,14.8905,-24.2934,17.7,80,53,3.42,CV,1717649738
383,patong,7.8961,98.2966,33.08,68,94,3.95,TH,1717649739
384,klyuchi,52.2667,79.1667,25.96,42,100,8.8,RU,1717649739
385,muisne,0.6,-80.0333,23.77,90,100,4.12,EC,1717649739
386,undurkhaan,47.3194,110.6556,20.29,28,20,7.11,MN,1717649739
